name,ligand_rmsd_A,n_fragments,matched_within_cutoff,median_distance_A,median_distance_any_type_A
s2_esm1_control,0.553,12,0,13.743,5.573
s2_esm1_f12,0.063,12,1,8.979,3.444
s2_esm1_f4,0.552,12,0,8.724,4.610
s2_esm1_f8,0.849,12,0,10.029,3.539
s2_esm2_control,0.847,12,0,12.025,5.020
s2_esm2_f12,0.624,12,0,9.840,4.876
s2_esm2_f4,0.645,12,0,8.608,3.579
s2_esm2_f8,0.562,12,0,7.637,3.022
s2_orig_control,0.543,12,0,14.529,6.144
s2_orig_f12,0.488,12,0,9.494,4.402
s2_orig_f4,0.639,12,0,11.507,5.621
s2_orig_f8,0.136,12,0,12.697,7.060
