frag_a,pose_a,frag_b,pose_b,h_a,h_b,k,d_cb,d_ca,cos_att,theta_a,theta_b,closure,penalty,clash_frag,clash_lig,dihedrals
tryptophan,2,tyrosine,0,16,8,1,9.268,8.941,0.793,142.3,53.8,1.6533,0.0,2.484,0.921,359 205 182 181
tryptophan,2,tyrosine,0,16,8,2,9.268,8.941,0.793,142.3,53.8,0.0,0.0,2.156,0.483,30 169 218 171 66 192
tryptophan,2,tyrosine,0,16,8,3,9.268,8.941,0.793,142.3,53.8,0.0,0.0,3.201,4.205,234 191 183 229 230 102 111 196
tryptophan,2,tyrosine,0,16,8,4,9.268,8.941,0.793,142.3,53.8,0.0,0.0,1.053,0.484,67 18 58 44 3 108 152 315 287 141
tryptophan,2,tyrosine,0,16,9,1,9.268,9.156,0.793,130.0,44.3,1.869,0.0,2.025,0.839,357 231 178 179
tryptophan,2,tyrosine,0,16,9,2,9.268,9.156,0.793,130.0,44.3,0.0317,0.0,3.001,1.579,259 96 196 189 38 159
tryptophan,2,tyrosine,0,16,9,3,9.268,9.156,0.793,130.0,44.3,0.0,0.0,3.201,3.121,215 144 155 242 291 143 117 197
tryptophan,2,tyrosine,0,16,9,4,9.268,9.156,0.793,130.0,44.3,0.0,0.0,1.441,0.302,300 92 119 342 324 99 127 262 233 154
tryptophan,2,tyrosine,0,16,10,1,9.268,6.967,0.793,138.1,135.6,0.0,0.0,2.689,1.584,295 105 262 207
tryptophan,2,tyrosine,0,16,10,2,9.268,6.967,0.793,138.1,135.6,0.0,0.0,1.924,1.04,301 262 21 306 340 24
tryptophan,2,tyrosine,0,16,10,3,9.268,6.967,0.793,138.1,135.6,0.0,0.0,3.201,3.342,192 196 172 247 254 78 102 209
tryptophan,2,tyrosine,0,16,10,4,9.268,6.967,0.793,138.1,135.6,0.0,0.0,2.175,0.678,325 87 77 43 26 49 118 290 236 154
tryptophan,2,tyrosine,0,17,8,1,9.268,11.303,0.793,40.8,54.7,5.5557,0.0,2.911,2.589,262 360 160 60
tryptophan,2,tyrosine,0,17,8,2,9.268,11.303,0.793,40.8,54.7,2.0375,0.0,2.827,0.934,263 359 215 290 167 172
tryptophan,2,tyrosine,0,17,8,3,9.268,11.303,0.793,40.8,54.7,0.0,0.0,2.544,1.692,291 320 216 268 225 195 104 70
tryptophan,2,tyrosine,0,17,8,4,9.268,11.303,0.793,40.8,54.7,0.0,0.0,1.189,1.389,315 26 66 301 274 127 145 210 199 171
tryptophan,2,tyrosine,0,17,9,1,9.268,11.527,0.793,28.4,44.7,6.6312,0.0,2.979,2.754,260 0 174 12
tryptophan,2,tyrosine,0,17,9,2,9.268,11.527,0.793,28.4,44.7,3.0044,0.0,2.963,1.352,260 0 205 315 181 181
tryptophan,2,tyrosine,0,17,9,3,9.268,11.527,0.793,28.4,44.7,0.5411,0.0,3.17,3.472,225 0 171 14 184 183 96 147
tryptophan,2,tyrosine,0,17,9,4,9.268,11.527,0.793,28.4,44.7,0.0,0.0,0.278,1.794,316 7 180 23 175 224 189 132 73 167
tryptophan,2,tyrosine,0,17,10,1,9.268,9.397,0.793,33.8,132.7,4.3088,0.0,3.17,3.19,251 1 170 19
tryptophan,2,tyrosine,0,17,10,2,9.268,9.397,0.793,33.8,132.7,0.6549,0.0,3.17,1.612,253 360 206 312 178 179
tryptophan,2,tyrosine,0,17,10,3,9.268,9.397,0.793,33.8,132.7,0.0,0.0,1.128,0.899,302 51 106 270 236 137 146 180
tryptophan,2,tyrosine,0,17,10,4,9.268,9.397,0.793,33.8,132.7,0.0,0.0,1.818,0.364,357 235 284 257 263 125 99 192 175 159
tryptophan,2,tyrosine,0,18,8,1,9.268,10.765,0.793,64.3,45.0,3.7886,0.0,2.896,2.517,88 0 202 226
tryptophan,2,tyrosine,0,18,8,2,9.268,10.765,0.793,64.3,45.0,0.5847,0.0,2.896,3.18,105 360 195 227 210 187
tryptophan,2,tyrosine,0,18,8,3,9.268,10.765,0.793,64.3,45.0,0.0,0.0,2.896,3.331,155 284 178 109 116 137 307 225
tryptophan,2,tyrosine,0,18,8,4,9.268,10.765,0.793,64.3,45.0,0.0,0.0,2.896,4.358,169 224 230 132 135 210 200 123 135 194
tryptophan,2,tyrosine,0,18,9,1,9.268,10.509,0.793,74.5,56.2,3.3717,0.0,2.896,1.639,91 343 161 165
tryptophan,2,tyrosine,0,18,9,2,9.268,10.509,0.793,74.5,56.2,0.1976,0.0,2.709,1.202,102 311 164 169 109 147
tryptophan,2,tyrosine,0,18,9,3,9.268,10.509,0.793,74.5,56.2,0.0,0.0,2.896,3.193,128 219 216 142 151 238 226 166
tryptophan,2,tyrosine,0,18,9,4,9.268,10.509,0.793,74.5,56.2,0.0,0.0,2.896,4.839,165 233 196 143 133 216 208 122 139 200
tryptophan,2,tyrosine,0,18,10,1,9.268,8.545,0.793,70.8,138.4,1.5294,0.0,2.896,2.266,81 4 208 215
tryptophan,2,tyrosine,0,18,10,2,9.268,8.545,0.793,70.8,138.4,0.0,0.0,2.879,1.099,96 227 272 133 145 223
tryptophan,2,tyrosine,0,18,10,3,9.268,8.545,0.793,70.8,138.4,0.0,0.0,1.732,0.797,48 319 333 24 37 325 278 123
tryptophan,2,tyrosine,0,18,10,4,9.268,8.545,0.793,70.8,138.4,0.0,0.0,2.896,2.542,110 319 305 32 63 274 240 66 96 214
tryptophan,2,phenylalanine,4,16,12,1,5.483,3.815,0.189,161.4,84.1,1.5631,0.0,2.776,1.227,301 65 312 360
tryptophan,2,phenylalanine,4,16,12,2,5.483,3.815,0.189,161.4,84.1,0.1529,0.0,1.253,0.503,37 17 4 56 105 2
tryptophan,2,phenylalanine,4,16,12,3,5.483,3.815,0.189,161.4,84.1,0.0,0.0,1.687,0.623,7 53 327 213 347 149 25 324
tryptophan,2,phenylalanine,4,16,12,4,5.483,3.815,0.189,161.4,84.1,0.0,0.0,0.892,0.451,61 46 75 64 35 39 117 355 247 105
tryptophan,2,phenylalanine,4,16,13,1,5.483,5.38,0.189,174.3,18.7,1.7486,0.0,0.672,3.938,114 234 109 6
tryptophan,2,phenylalanine,4,16,13,2,5.483,5.38,0.189,174.3,18.7,0.2432,0.0,0.884,2.693,92 265 70 127 37 29
tryptophan,2,phenylalanine,4,16,13,3,5.483,5.38,0.189,174.3,18.7,0.0,0.0,0.794,4.205,191 219 190 133 349 285 269 23
tryptophan,2,phenylalanine,4,16,13,4,5.483,5.38,0.189,174.3,18.7,0.0,0.0,2.085,4.205,195 128 147 131 178 312 170 31 183 343
tryptophan,2,phenylalanine,4,16,14,1,5.483,4.379,0.189,152.6,64.2,0.8573,0.0,2.256,4.205,205 48 324 360
tryptophan,2,phenylalanine,4,16,14,2,5.483,4.379,0.189,152.6,64.2,0.0009,0.0,2.776,2.825,256 19 10 235 313 5
tryptophan,2,phenylalanine,4,16,14,3,5.483,4.379,0.189,152.6,64.2,0.0,0.0,2.776,2.116,324 238 164 196 335 74 89 327
tryptophan,2,phenylalanine,4,16,14,4,5.483,4.379,0.189,152.6,64.2,0.0,0.0,2.776,2.585,315 204 176 230 19 91 358 350 244 357
tryptophan,2,phenylalanine,4,17,12,1,5.483,6.211,0.189,47.0,77.7,1.0153,0.0,0.507,3.683,246 24 137 9
tryptophan,2,phenylalanine,4,17,12,2,5.483,6.211,0.189,47.0,77.7,0.0,0.0,1.423,0.809,288 29 132 15 100 55
tryptophan,2,phenylalanine,4,17,12,3,5.483,6.211,0.189,47.0,77.7,0.0,0.0,0.583,0.632,336 35 106 286 229 97 96 174
