frag_a,pose_a,h_a,frag_b,pose_b,h_b,k,n_atoms,charge,d_ca,theta_a,theta_b,closure,penalty,e_held_ev,e_free_ev,strain_kcal,sc_interaction_kcal,sc_internal_kcal,sidechain_kcal,remainder_kcal,rmsd_held_free,frag_gap_held,frag_gap_free,contact_held,contact_ligand,steps_held,steps_free,conv_held,conv_free
arginine,3,17,phenylalanine,4,12,2,62,1,4.254,42.4,79.4,0.0,0.0024,-40312.701505,-40314.416020,39.537,18.202,6.120,24.322,15.216,0.539,2.752,3.771,2.655,3.055,108,96,1,1
serine,31,4,aspartic,21,5,1,34,-1,4.845,104.6,83.4,0.0334,0.2558,-27825.632291,-27826.420006,18.165,-1.842,-0.276,-2.118,20.283,0.487,4.763,4.279,2.678,3.615,105,74,1,1
serine,31,3,phenylalanine,4,14,2,49,0,5.567,95.7,50.0,0.0,0.0,-34655.647746,-34655.922385,6.333,1.447,0.379,1.825,4.508,0.247,3.499,3.919,2.714,4.851,100,51,1,1
serine,31,3,glutamic,22,4,1,34,-1,6.191,87.3,141.6,0.0,0.0,-27825.432757,-27826.486026,24.289,6.090,-0.632,5.458,18.831,1.549,6.740,3.436,2.530,3.564,157,138,1,1
aspartic,21,5,phenylalanine,4,13,1,43,-1,6.948,128.4,65.2,0.1763,8.3585,-32061.489491,-32066.574747,117.268,3.979,8.787,12.766,104.501,1.639,3.902,3.183,2.533,3.334,71,211,1,1
lysine,5,13,phenylalanine,4,12,2,60,1,8.307,108.8,97.6,0.0157,0.3701,-37330.846262,-37334.564573,85.746,0.924,15.465,16.389,69.356,1.442,6.755,4.620,2.766,2.610,105,256,1,1
leucine,13,1,tyrosine,1,12,2,59,0,8.782,91.5,102.0,0.0128,1.5627,-37875.112471,-37878.513971,78.440,-0.982,2.993,2.012,76.428,1.123,5.429,7.602,2.567,2.736,193,138,1,1
isoleucine,3,4,arginine,3,16,2,61,1,9.043,94.6,77.5,0.0198,2.9462,-37231.104096,-37236.298990,119.796,0.196,2.194,2.390,117.406,1.325,7.143,5.888,2.725,3.212,132,149,1,1
serine,31,5,isoleucine,3,4,2,48,0,9.355,122.1,115.4,0.2287,13.4243,-31571.048190,-31572.201618,26.598,0.001,0.058,0.058,26.540,0.689,8.911,8.210,2.588,2.841,198,121,1,1
arginine,3,17,leucine,13,1,2,61,1,10.235,89.8,122.2,0.0137,1.3962,-37232.575090,-37236.737244,95.981,0.042,6.530,6.572,89.409,0.749,9.913,9.172,2.428,2.697,166,122,1,1
tryptophan,5,16,arginine,3,16,2,66,1,10.458,111.0,106.8,0.1183,16.419,-43883.144169,-43889.440101,145.186,13.654,0.820,14.474,130.712,2.349,6.354,3.286,2.699,2.624,164,400,1,1
isoleucine,3,4,tyrosine,1,13,3,66,0,12.62,75.2,114.6,0.026,1.8503,-43536.511793,-43539.192589,61.820,-0.108,0.268,0.160,61.660,0.822,5.269,4.937,2.722,2.944,146,124,1,1
leucine,13,1,aspartic,21,4,4,63,-1,16.607,142.1,85.6,0.0277,0.9329,-45968.817656,-45970.205013,31.993,-0.014,6.707,6.694,25.299,0.477,15.667,15.536,2.716,2.966,193,96,1,1
tryptophan,5,16,leucine,13,1,4,75,0,17.654,117.3,141.1,0.1143,1.5937,-50717.908224,-50719.669659,40.619,0.002,8.631,8.633,31.986,1.323,15.840,16.899,2.665,3.064,149,198,1,1
