frag_a,pose_a,h_a,frag_b,pose_b,h_b,k,n_atoms,charge,d_ca,theta_a,theta_b,closure,penalty,e_held_ev,e_free_ev,strain_kcal,sidechain_kcal,backbone_kcal,rmsd_held_free,frag_gap_held,frag_gap_free,contact_held,contact_ligand,steps_held,steps_free,conv_held,conv_free
arginine,3,17,phenylalanine,4,12,2,62,1,4.254,42.4,79.4,0.0,0.0024,-40313.420319,-40314.857849,33.150,23.025,10.125,0.416,2.752,3.673,2.236,1.976,153,66,1,1
arginine,3,16,aspartic,21,5,1,47,0,4.843,100.0,148.9,0.0831,1.2271,-33486.370359,-33488.357464,45.823,1.038,44.786,1.288,5.346,4.161,2.248,1.818,80,149,1,1
arginine,3,16,glutamic,22,4,1,47,0,5.077,117.1,82.2,0.0631,3.3659,-33485.532473,-33489.029794,80.649,73.928,6.721,2.065,4.977,2.663,2.250,1.488,102,295,1,1
arginine,3,16,serine,31,3,2,53,1,5.722,170.0,69.4,0.0,0.0,-36074.525326,-36074.696535,3.948,2.158,1.790,0.249,6.799,6.721,2.257,2.787,140,50,1,1
isoleucine,3,4,lysine,5,13,2,59,1,6.832,154.3,54.0,0.0578,1.0339,-34253.092451,-34255.657064,59.141,17.358,41.783,1.138,3.108,3.319,2.251,3.005,194,168,1,1
isoleucine,3,4,phenylalanine,4,12,2,57,0,7.891,88.0,147.3,0.0016,0.0091,-35816.782375,-35817.239434,10.540,0.091,10.449,0.577,7.136,6.326,2.258,0.634,166,91,1,1
arginine,3,16,lysine,5,13,2,64,2,8.745,114.2,121.7,0.0314,3.0579,-38750.877799,-38751.902404,23.628,-5.126,28.753,0.819,6.668,6.316,2.257,1.197,99,186,1,1
glutamic,22,4,isoleucine,3,4,2,49,-1,8.814,77.9,84.5,0.0059,0.1453,-34647.373196,-34648.782166,32.491,0.589,31.903,1.275,3.707,3.262,2.250,3.240,159,195,1,1
lysine,5,13,glutamic,22,4,2,52,0,9.106,102.0,119.9,0.0118,0.1377,-36166.660786,-36169.455221,64.441,78.450,-14.009,0.992,5.025,2.673,2.250,1.900,108,117,1,1
glutamic,22,4,aspartic,21,5,2,42,-2,9.255,101.9,131.7,0.0,0.0443,-36556.073748,-36556.535455,10.647,-0.777,11.424,0.900,8.584,9.508,2.250,2.309,281,113,1,1
arginine,3,17,leucine,13,1,2,61,1,10.235,89.8,122.2,0.0137,1.3962,-37235.821362,-37236.446911,14.425,1.572,12.853,0.472,9.913,9.356,2.258,1.123,179,102,1,1
arginine,3,16,tryptophan,5,16,2,66,1,10.458,106.8,111.0,0.1547,15.7771,-43895.233078,-43895.642218,9.435,1.026,8.409,0.412,6.354,6.326,2.239,0.498,79,91,1,1
isoleucine,3,4,tyrosine,1,13,3,66,0,12.62,75.2,114.6,0.026,1.8503,-43538.758881,-43538.961492,4.672,-0.402,5.074,0.202,5.269,5.240,2.252,0.466,186,52,1,1
lysine,5,13,leucine,13,1,4,73,1,16.719,82.4,136.1,0.1768,8.4335,-45576.410754,-45577.280351,20.053,-4.999,25.052,0.451,11.822,11.336,2.251,0.461,265,88,1,1
