fragment,pose,ie_kcal_mol,selected
arginine,0,-15.2373,0
arginine,1,-6.2457,0
arginine,2,-2.2650,0
arginine,3,-23.2919,1
arginine,4,-13.6381,0
arginine,5,-12.1971,0
arginine,6,-4.9945,0
arginine,7,-6.3735,0
arginine,8,-18.2586,0
arginine,9,-7.5985,0
arginine,10,-10.4611,0
arginine,11,-7.2271,0
lysine,0,-7.2400,0
lysine,1,-4.4809,0
lysine,2,-4.4525,0
lysine,3,-16.1995,0
lysine,4,-10.3306,0
lysine,5,-17.8317,1
lysine,6,-6.0107,0
lysine,7,-14.6361,0
lysine,8,1.0219,0
lysine,9,-11.9720,0
lysine,10,-16.5253,0
lysine,11,-12.8157,0
aspartic,0,-8.2080,0
aspartic,1,-15.8384,0
aspartic,2,-7.3028,0
aspartic,3,-10.0235,0
aspartic,4,-12.6990,0
aspartic,5,-11.6602,0
aspartic,6,-11.1413,0
aspartic,7,-10.9335,0
aspartic,8,-9.3336,0
aspartic,9,-15.3031,0
aspartic,10,-8.5256,0
aspartic,11,-15.1282,0
aspartic,12,-7.7547,0
aspartic,13,-16.1670,0
aspartic,14,-13.0207,0
aspartic,15,-12.1939,0
aspartic,16,-10.7243,0
aspartic,17,-8.6562,0
aspartic,18,-11.5749,0
aspartic,19,-14.4336,0
aspartic,20,-4.5164,0
aspartic,21,-16.7823,1
aspartic,22,-12.4183,0
glutamic,0,-11.2973,0
glutamic,1,-15.5801,0
glutamic,2,-11.0563,0
glutamic,3,-4.6825,0
glutamic,4,-12.0927,0
glutamic,5,-14.3960,0
glutamic,6,-16.6320,0
glutamic,7,-7.3834,0
glutamic,8,-7.5528,0
glutamic,9,-8.6714,0
glutamic,10,-6.2229,0
glutamic,11,-11.2327,0
glutamic,12,-9.3657,0
glutamic,13,-7.9124,0
glutamic,14,-17.4258,0
glutamic,15,-6.3730,0
glutamic,16,-11.4186,0
glutamic,17,-9.3879,0
glutamic,18,-15.4873,0
glutamic,19,-18.6648,0
glutamic,20,-6.7112,0
glutamic,21,-9.5832,0
glutamic,22,-16.3974,1
glutamic,23,-9.1955,0
glutamic,24,-7.0543,0
glutamic,25,-10.2284,0
isoleucine,0,-3.7229,0
isoleucine,1,-1.7680,0
isoleucine,2,-3.1021,0
isoleucine,3,-3.8705,1
isoleucine,4,-3.3359,0
isoleucine,5,-2.5459,0
isoleucine,6,-3.2601,0
isoleucine,7,-2.8830,0
isoleucine,8,-3.8027,0
isoleucine,9,-2.6342,0
isoleucine,10,-2.8612,0
isoleucine,11,-1.7067,0
isoleucine,12,-3.7796,0
isoleucine,13,-3.2538,0
isoleucine,14,-2.8111,0
isoleucine,15,-3.4099,0
isoleucine,16,-2.2467,0
isoleucine,17,-3.5721,0
isoleucine,18,-4.3314,0
isoleucine,19,-2.1662,0
leucine,0,-3.1399,0
leucine,1,-1.5745,0
leucine,2,-3.3714,0
leucine,3,-2.6050,0
leucine,4,-3.1477,0
leucine,5,-2.1088,0
leucine,6,-2.0046,0
leucine,7,-1.6237,0
leucine,8,-3.2354,0
leucine,9,-3.5037,0
leucine,10,-3.8090,0
leucine,11,-2.5905,0
leucine,12,-3.2786,0
leucine,13,-1.6789,1
leucine,14,-2.8303,0
leucine,15,-4.0839,0
leucine,16,-2.9676,0
serine,0,-2.0006,0
serine,1,-1.5406,0
serine,2,-1.8889,0
serine,3,-4.3919,0
serine,4,-5.9192,0
serine,5,-5.1724,0
serine,6,-0.8109,0
serine,7,-2.2151,0
serine,8,-4.4549,0
serine,9,-1.7817,0
serine,10,-1.9097,0
serine,11,-2.0187,0
serine,12,-6.0119,0
serine,13,-3.8705,0
serine,14,-1.0477,0
serine,15,-1.3147,0
serine,16,-2.8333,0
serine,17,-2.5419,0
serine,18,-1.9199,0
serine,19,-2.8208,0
serine,20,-2.3386,0
serine,21,-2.5301,0
serine,22,-2.2251,0
serine,23,-3.2425,0
serine,24,-2.7508,0
serine,25,-3.2318,0
serine,26,-3.2789,0
serine,27,-3.5821,0
serine,28,-1.5929,0
serine,29,-3.6972,0
serine,30,-3.1435,0
serine,31,-4.9573,1
serine,32,-4.0544,0
tryptophan,0,-3.3111,0
tryptophan,1,-5.3032,0
tryptophan,2,-8.9404,0
tryptophan,3,-3.5188,0
tryptophan,4,-3.6684,0
tryptophan,5,-5.2763,1
tryptophan,6,-4.8603,0
tyrosine,0,-10.1267,0
tyrosine,1,-7.2232,1
tyrosine,2,-4.0604,0
tyrosine,3,-1.9882,0
tyrosine,4,-2.7530,0
tyrosine,5,-4.1646,0
tyrosine,6,-2.9201,0
tyrosine,7,-4.0103,0
tyrosine,8,-2.8746,0
phenylalanine,0,-2.5114,0
phenylalanine,1,-5.9351,0
phenylalanine,2,-6.1144,0
phenylalanine,3,-4.8729,0
phenylalanine,4,-3.5560,1
phenylalanine,5,-3.9428,0
phenylalanine,6,-4.6375,0
phenylalanine,7,-1.7112,0
phenylalanine,8,-3.7528,0
phenylalanine,9,-5.6777,0
phenylalanine,10,-3.3258,0
