figure_name,file,structure,enclosed_fraction,wrapped_fraction,centroid_separation,engaged,mean_ligand_distance,contacts_under_cutoff,hints,interaction_kcal,strain_ligand_kcal
s2_orig_control,s2_orig_control.cif,s2_orig_control,0.6,1.0,7.7,20/20,3.74,28,0/0,-25.182,6.960
s2_orig_f4,s2_orig_f4.cif,s2_orig_f4,0.625,0.85,2.9,17/20,3.94,33,0/4,-17.479,11.911
s2_orig_f8,s2_orig_f8.cif,s2_orig_f8,0.43,0.85,9.6,17/20,3.83,15,1/8,-11.072,30.379
s2_orig_f12,s2_orig_f12.cif,s2_orig_f12,0.7,0.85,7.2,17/20,3.65,36,1/12,-17.558,9.425
s2_esm1_control,s2_esm1_control.cif,s2_esm1_control,0.375,0.55,11.2,11/20,4.64,5,0/0,-9.701,6.017
s2_esm1_f4,s2_esm1_f4.cif,s2_esm1_f4,0.64,0.8,6.8,16/20,4.15,19,1/4,-29.547,16.708
s2_esm1_f8,s2_esm1_f8.cif,s2_esm1_f8,0.67,0.8,5.5,16/20,4.01,25,1/8,-19.908,25.568
s2_esm1_f12,s2_esm1_f12.cif,s2_esm1_f12,0.675,0.9,5.9,18/20,4.02,22,3/12,-42.394,18.916
s2_esm2_control,s2_esm2_control.cif,s2_esm2_control,0.51,0.85,6.7,17/20,4.07,18,0/0,-74.888,4.643
s2_esm2_f4,s2_esm2_f4.cif,s2_esm2_f4,0.5,0.55,16.0,11/20,4.27,20,0/4,-7.526,20.694
s2_esm2_f8,s2_esm2_f8.cif,s2_esm2_f8,0.86,0.95,9.5,19/20,3.76,31,0/8,-28.292,15.483
s2_esm2_f12,s2_esm2_f12.cif,s2_esm2_f12,0.61,0.75,5.9,15/20,4.11,17,2/12,-72.717,8.336
