shell will be superposed onto s2_orig_control using 20 ligand atoms
included the designed shell as designed_shell.xyz

12 structures copied to runs/octinoxate/figures_shell2
manifest -> runs/octinoxate/figures_shell2/manifest.csv
pymol    -> runs/octinoxate/figures_shell2/load_folds.pml

figure name       enclosed  wrapped    inter   strain      sum         hints
s2_orig_control        0.6      1.0  -25.182    6.960   -18.22           0/0
s2_orig_f4           0.625     0.85  -17.479   11.911    -5.57           0/4
s2_orig_f8            0.43     0.85  -11.072   30.379    19.31           1/8
s2_orig_f12            0.7     0.85  -17.558    9.425    -8.13          1/12
s2_esm1_control      0.375     0.55   -9.701    6.017    -3.68           0/0
s2_esm1_f4            0.64      0.8  -29.547   16.708   -12.84           1/4
s2_esm1_f8            0.67      0.8  -19.908   25.568     5.66           1/8
s2_esm1_f12          0.675      0.9  -42.394   18.916   -23.48          3/12
s2_esm2_control       0.51     0.85  -74.888    4.643   -70.25           0/0
s2_esm2_f4             0.5     0.55   -7.526   20.694    13.17           0/4
s2_esm2_f8            0.86     0.95  -28.292   15.483   -12.81           0/8
s2_esm2_f12           0.61     0.75  -72.717    8.336   -64.38          2/12
