1 complexes; terms: ['interaction', 'strain_ligand']

s2_orig_control
    relaxing 193 hydrogens of complex (212 heavy atoms fixed)
      Step     Time          Energy          fmax
BFGS:    0 11:56:44  -285618.743304        5.780546
BFGS:    1 11:56:45  -285642.952021        4.732778
BFGS:    2 11:56:45  -285664.496256        3.454803
BFGS:    3 11:56:46  -285666.975171        3.352981
BFGS:    4 11:56:46  -285669.280494        3.257787
BFGS:    5 11:56:47  -285673.127275        2.810793
BFGS:    6 11:56:47  -285675.570716        2.477401
BFGS:    7 11:56:48  -285676.922710        2.530954
BFGS:    8 11:56:48  -285677.526469        2.165668
BFGS:    9 11:56:49  -285678.253665        0.969981
BFGS:   10 11:56:49  -285678.735171        1.293163
BFGS:   11 11:56:50  -285679.508494        2.420481
BFGS:   12 11:56:50  -285680.033725        2.244655
BFGS:   13 11:56:50  -285680.325066        1.651935
BFGS:   14 11:56:51  -285680.506415        1.159636
BFGS:   15 11:56:51  -285680.678443        1.214164
BFGS:   16 11:56:52  -285680.879853        1.691536
BFGS:   17 11:56:52  -285681.063364        1.699633
BFGS:   18 11:56:53  -285681.236164        1.169136
BFGS:   19 11:56:53  -285681.344836        0.639802
BFGS:   20 11:56:54  -285681.404464        0.743757
BFGS:   21 11:56:54  -285681.511580        1.055518
BFGS:   22 11:56:55  -285681.618915        0.778150
BFGS:   23 11:56:55  -285681.733967        0.847846
BFGS:   24 11:56:56  -285681.855342        0.827931
BFGS:   25 11:56:56  -285681.969234        0.704355
BFGS:   26 11:56:56  -285682.052814        0.943786
BFGS:   27 11:56:57  -285682.170754        0.901405
BFGS:   28 11:56:57  -285682.278856        0.583734
BFGS:   29 11:56:58  -285682.385820        0.519109
BFGS:   30 11:56:58  -285682.415440        0.479042
BFGS:   31 11:56:59  -285682.488229        0.544072
BFGS:   32 11:56:59  -285682.529114        0.483906
BFGS:   33 11:57:00  -285682.569368        0.653431
BFGS:   34 11:57:00  -285682.602017        0.491150
BFGS:   35 11:57:01  -285682.632992        0.604708
BFGS:   36 11:57:01  -285682.676744        0.531526
BFGS:   37 11:57:01  -285682.712915        0.917508
BFGS:   38 11:57:02  -285682.747273        0.512101
BFGS:   39 11:57:02  -285682.770081        0.950901
BFGS:   40 11:57:03  -285682.796249        0.490493
BFGS:   41 11:57:03  -285682.819411        0.268284
BFGS:   42 11:57:04  -285682.844049        0.276441
BFGS:   43 11:57:04  -285682.862288        0.308439
BFGS:   44 11:57:05  -285682.874914        0.279151
BFGS:   45 11:57:05  -285682.887919        0.545249
BFGS:   46 11:57:06  -285682.903936        0.337278
BFGS:   47 11:57:06  -285682.922449        0.469411
BFGS:   48 11:57:07  -285682.936760        0.460953
BFGS:   49 11:57:07  -285682.948187        0.375061
BFGS:   50 11:57:07  -285682.970685        0.315913
BFGS:   51 11:57:08  -285682.994017        0.350989
BFGS:   52 11:57:08  -285683.022080        0.384923
BFGS:   53 11:57:09  -285683.043865        0.306812
BFGS:   54 11:57:09  -285683.060834        0.299960
BFGS:   55 11:57:10  -285683.083834        0.330255
BFGS:   56 11:57:10  -285683.071183        0.858859
BFGS:   57 11:57:11  -285683.123197        0.360352
BFGS:   58 11:57:11  -285683.136502        0.331956
BFGS:   59 11:57:12  -285683.159250        0.310229
BFGS:   60 11:57:12  -285683.167449        0.299697
BFGS:   61 11:57:12  -285683.197990        0.334574
BFGS:   62 11:57:13  -285683.216061        0.343600
BFGS:   63 11:57:13  -285683.232945        0.299278
BFGS:   64 11:57:14  -285683.244674        0.258255
BFGS:   65 11:57:14  -285683.256257        0.225838
BFGS:   66 11:57:15  -285683.268659        0.321160
BFGS:   67 11:57:15  -285683.283055        0.373044
BFGS:   68 11:57:16  -285683.298636        0.284208
BFGS:   69 11:57:16  -285683.312480        0.186314
BFGS:   70 11:57:17  -285683.319954        0.162579
BFGS:   71 11:57:17  -285683.323206        0.172647
BFGS:   72 11:57:18  -285683.328279        0.151542
BFGS:   73 11:57:18  -285683.332909        0.109626
BFGS:   74 11:57:19  -285683.342639        0.135493
BFGS:   75 11:57:19  -285683.347666        0.149665
    -> 75 steps
  interaction    -24.30 kcal/mol
    relaxing free ligand: 44 atoms, fmax 0.1, max 75 steps
      Step     Time          Energy          fmax
BFGS:    0 11:57:29   -24160.499091        1.707339
BFGS:    1 11:57:29   -24160.622106        1.586197
BFGS:    2 11:57:30   -24160.665958        0.552866
BFGS:    3 11:57:30   -24160.683634        0.343050
BFGS:    4 11:57:30   -24160.699653        0.214093
BFGS:    5 11:57:30   -24160.711153        0.232318
BFGS:    6 11:57:30   -24160.719387        0.199953
BFGS:    7 11:57:30   -24160.730314        0.235938
BFGS:    8 11:57:30   -24160.738904        0.323944
BFGS:    9 11:57:30   -24160.747018        0.268014
BFGS:   10 11:57:30   -24160.753341        0.171476
BFGS:   11 11:57:30   -24160.758986        0.143441
BFGS:   12 11:57:31   -24160.764048        0.170332
BFGS:   13 11:57:31   -24160.768605        0.164109
BFGS:   14 11:57:31   -24160.772425        0.117057
BFGS:   15 11:57:31   -24160.775594        0.115614
BFGS:   16 11:57:31   -24160.778608        0.111830
BFGS:   17 11:57:31   -24160.781967        0.128567
BFGS:   18 11:57:31   -24160.786078        0.137122
BFGS:   19 11:57:31   -24160.790660        0.138481
BFGS:   20 11:57:31   -24160.795129        0.137428
BFGS:   21 11:57:31   -24160.798930        0.111029
BFGS:   22 11:57:32   -24160.802558        0.122253
BFGS:   23 11:57:32   -24160.806610        0.123472
BFGS:   24 11:57:32   -24160.811130        0.138687
BFGS:   25 11:57:32   -24160.815579        0.102474
BFGS:   26 11:57:32   -24160.819787        0.117447
BFGS:   27 11:57:32   -24160.824176        0.127850
BFGS:   28 11:57:32   -24160.829012        0.138604
BFGS:   29 11:57:32   -24160.833807        0.133884
BFGS:   30 11:57:32   -24160.838261        0.128641
BFGS:   31 11:57:32   -24160.842943        0.119305
BFGS:   32 11:57:33   -24160.848441        0.154307
BFGS:   33 11:57:33   -24160.854516        0.152513
BFGS:   34 11:57:33   -24160.860500        0.136421
BFGS:   35 11:57:33   -24160.864942        0.209806
BFGS:   36 11:57:33   -24160.869076        0.200913
BFGS:   37 11:57:33   -24160.874617        0.152030
BFGS:   38 11:57:33   -24160.882557        0.164180
BFGS:   39 11:57:33   -24160.886702        0.134908
BFGS:   40 11:57:33   -24160.893813        0.181023
BFGS:   41 11:57:33   -24160.900523        0.135626
BFGS:   42 11:57:33   -24160.906235        0.278345
BFGS:   43 11:57:34   -24160.914577        0.145780
BFGS:   44 11:57:34   -24160.921971        0.148871
BFGS:   45 11:57:34   -24160.930106        0.161067
BFGS:   46 11:57:34   -24160.935923        0.133186
BFGS:   47 11:57:34   -24160.942920        0.156804
BFGS:   48 11:57:34   -24160.948929        0.141471
BFGS:   49 11:57:34   -24160.953262        0.324830
BFGS:   50 11:57:34   -24160.957029        0.184057
BFGS:   51 11:57:34   -24160.963700        0.120790
BFGS:   52 11:57:34   -24160.969825        0.169558
BFGS:   53 11:57:35   -24160.975458        0.186285
BFGS:   54 11:57:35   -24160.982335        0.163437
BFGS:   55 11:57:35   -24160.988973        0.113188
BFGS:   56 11:57:35   -24160.993671        0.110275
BFGS:   57 11:57:35   -24160.996659        0.120008
BFGS:   58 11:57:35   -24160.996943        0.211087
BFGS:   59 11:57:35   -24161.000457        0.079969
    -> 59 steps, converged=True
  strain ligand     11.56 kcal/mol (59 steps, converged=True)
  binding        -12.73 kcal/mol   (no desolvation term)

results in /tmp/run/boltz/binding_modal.csv

--- stderr ---
[11:54:15] WARNING: More than one matching pattern found - picking one

WARNING:root:Model is being compiled this might take a while for the first time
W0926 11:54:19.382000 6 site-packages/torch/_logging/_internal.py:1345] [0/0] Profiler record function <class 'torch.autograd.profiler.record_function'> will be ignored
