1 complexes; terms: ['interaction', 'strain_ligand']

s2_orig_control
    relaxing 193 hydrogens of complex (212 heavy atoms fixed)
      Step     Time          Energy          fmax
BFGS:    0 12:16:02  -285618.737947        5.780567
BFGS:    1 12:16:03  -285642.946805        4.732788
BFGS:    2 12:16:04  -285664.490107        3.454871
BFGS:    3 12:16:04  -285666.969408        3.353430
BFGS:    4 12:16:05  -285669.275812        3.258881
BFGS:    5 12:16:05  -285673.122567        2.813545
BFGS:    6 12:16:06  -285675.566562        2.479920
BFGS:    7 12:16:06  -285676.919901        2.532538
BFGS:    8 12:16:07  -285677.524994        2.168162
BFGS:    9 12:16:07  -285678.251785        0.973926
BFGS:   10 12:16:07  -285678.733757        1.288520
BFGS:   11 12:16:08  -285679.505841        2.418087
BFGS:   12 12:16:08  -285680.031902        2.244300
BFGS:   13 12:16:09  -285680.323339        1.655783
BFGS:   14 12:16:09  -285680.504960        1.160511
BFGS:   15 12:16:10  -285680.676921        1.212547
BFGS:   16 12:16:10  -285680.878108        1.689354
BFGS:   17 12:16:11  -285681.061496        1.698897
BFGS:   18 12:16:11  -285681.234163        1.171082
BFGS:   19 12:16:11  -285681.342975        0.639511
BFGS:   20 12:16:12  -285681.402573        0.742044
BFGS:   21 12:16:12  -285681.509096        1.054445
BFGS:   22 12:16:13  -285681.616215        0.777620
BFGS:   23 12:16:13  -285681.730927        0.848337
BFGS:   24 12:16:14  -285681.852226        0.832273
BFGS:   25 12:16:14  -285681.966246        0.704903
BFGS:   26 12:16:15  -285682.049610        0.950296
BFGS:   27 12:16:15  -285682.167848        0.890013
BFGS:   28 12:16:16  -285682.276427        0.579228
BFGS:   29 12:16:16  -285682.383745        0.521154
BFGS:   30 12:16:16  -285682.413282        0.480022
BFGS:   31 12:16:17  -285682.486508        0.537953
BFGS:   32 12:16:17  -285682.527486        0.484674
BFGS:   33 12:16:18  -285682.568288        0.655679
BFGS:   34 12:16:18  -285682.600468        0.490964
BFGS:   35 12:16:19  -285682.631702        0.619226
BFGS:   36 12:16:19  -285682.675848        0.531261
BFGS:   37 12:16:20  -285682.712156        0.924343
BFGS:   38 12:16:20  -285682.747135        0.512374
BFGS:   39 12:16:20  -285682.770084        0.924607
BFGS:   40 12:16:21  -285682.796465        0.488601
BFGS:   41 12:16:21  -285682.819682        0.275274
BFGS:   42 12:16:22  -285682.844643        0.279341
BFGS:   43 12:16:22  -285682.862627        0.309840
BFGS:   44 12:16:23  -285682.875221        0.278093
BFGS:   45 12:16:23  -285682.887363        0.572415
BFGS:   46 12:16:24  -285682.903771        0.282783
BFGS:   47 12:16:24  -285682.923330        0.486302
BFGS:   48 12:16:24  -285682.936423        0.502042
BFGS:   49 12:16:25  -285682.948602        0.406143
BFGS:   50 12:16:25  -285682.969617        0.317843
BFGS:   51 12:16:26  -285682.993435        0.352822
BFGS:   52 12:16:26  -285683.021258        0.390117
BFGS:   53 12:16:27  -285683.043510        0.309179
BFGS:   54 12:16:27  -285683.059961        0.296783
BFGS:   55 12:16:28  -285683.082848        0.331665
BFGS:   56 12:16:28  -285683.068799        0.899702
BFGS:   57 12:16:29  -285683.122308        0.340789
BFGS:   58 12:16:29  -285683.135897        0.320508
BFGS:   59 12:16:29  -285683.158805        0.306409
BFGS:   60 12:16:30  -285683.166727        0.296327
BFGS:   61 12:16:30  -285683.198505        0.328274
BFGS:   62 12:16:31  -285683.217079        0.341886
BFGS:   63 12:16:31  -285683.233528        0.294428
BFGS:   64 12:16:32  -285683.244667        0.278461
BFGS:   65 12:16:32  -285683.256223        0.216408
BFGS:   66 12:16:33  -285683.269376        0.332983
BFGS:   67 12:16:33  -285683.282405        0.394915
BFGS:   68 12:16:33  -285683.298985        0.312546
BFGS:   69 12:16:34  -285683.312628        0.170768
BFGS:   70 12:16:34  -285683.320489        0.156923
BFGS:   71 12:16:35  -285683.324963        0.160885
BFGS:   72 12:16:35  -285683.328218        0.232941
BFGS:   73 12:16:36  -285683.333303        0.126265
BFGS:   74 12:16:36  -285683.341567        0.132538
BFGS:   75 12:16:37  -285683.346937        0.133549
    -> 75 steps
  interaction    -24.29 kcal/mol
    relaxing free ligand: 44 atoms, fmax 0.1, max 75 steps
      Step     Time          Energy          fmax
BFGS:    0 12:16:43   -24160.499026        1.707340
BFGS:    1 12:16:43   -24160.622372        1.586088
BFGS:    2 12:16:44   -24160.666115        0.555151
BFGS:    3 12:16:44   -24160.683818        0.343271
BFGS:    4 12:16:44   -24160.699900        0.214624
BFGS:    5 12:16:44   -24160.711256        0.233552
BFGS:    6 12:16:44   -24160.719357        0.199346
BFGS:    7 12:16:44   -24160.730332        0.239475
BFGS:    8 12:16:44   -24160.738952        0.329317
BFGS:    9 12:16:44   -24160.747031        0.271826
BFGS:   10 12:16:44   -24160.753316        0.171128
BFGS:   11 12:16:44   -24160.758965        0.141281
BFGS:   12 12:16:44   -24160.764053        0.177037
BFGS:   13 12:16:45   -24160.768641        0.170036
BFGS:   14 12:16:45   -24160.772492        0.118327
BFGS:   15 12:16:45   -24160.775680        0.116407
BFGS:   16 12:16:45   -24160.778682        0.115912
BFGS:   17 12:16:45   -24160.782003        0.131161
BFGS:   18 12:16:45   -24160.786063        0.137224
BFGS:   19 12:16:45   -24160.790635        0.140479
BFGS:   20 12:16:45   -24160.795103        0.141904
BFGS:   21 12:16:45   -24160.798891        0.110686
BFGS:   22 12:16:45   -24160.802506        0.121771
BFGS:   23 12:16:45   -24160.806576        0.125613
BFGS:   24 12:16:45   -24160.811149        0.144464
BFGS:   25 12:16:46   -24160.815656        0.106599
BFGS:   26 12:16:46   -24160.819892        0.118137
BFGS:   27 12:16:46   -24160.824278        0.127470
BFGS:   28 12:16:46   -24160.829103        0.141534
BFGS:   29 12:16:46   -24160.833905        0.133628
BFGS:   30 12:16:46   -24160.838362        0.127206
BFGS:   31 12:16:46   -24160.843018        0.117933
BFGS:   32 12:16:46   -24160.848470        0.158490
BFGS:   33 12:16:46   -24160.854518        0.159394
BFGS:   34 12:16:47   -24160.860553        0.140516
BFGS:   35 12:16:47   -24160.864938        0.223980
BFGS:   36 12:16:47   -24160.869481        0.203940
BFGS:   37 12:16:47   -24160.874867        0.155368
BFGS:   38 12:16:47   -24160.883145        0.163843
BFGS:   39 12:16:47   -24160.887081        0.125298
BFGS:   40 12:16:47   -24160.894625        0.177601
BFGS:   41 12:16:47   -24160.901475        0.139729
BFGS:   42 12:16:47   -24160.907319        0.266647
BFGS:   43 12:16:47   -24160.915417        0.146186
BFGS:   44 12:16:48   -24160.922645        0.151643
BFGS:   45 12:16:48   -24160.931027        0.149947
BFGS:   46 12:16:48   -24160.936721        0.129723
BFGS:   47 12:16:48   -24160.943783        0.125927
BFGS:   48 12:16:48   -24160.947871        0.307292
BFGS:   49 12:16:48   -24160.953935        0.169626
BFGS:   50 12:16:48   -24160.959235        0.121412
BFGS:   51 12:16:48   -24160.968245        0.172441
BFGS:   52 12:16:48   -24160.972278        0.125655
BFGS:   53 12:16:48   -24160.981408        0.184118
BFGS:   54 12:16:48   -24160.987451        0.106379
BFGS:   55 12:16:49   -24160.991361        0.156541
BFGS:   56 12:16:49   -24160.994956        0.115241
BFGS:   57 12:16:49   -24160.998286        0.090746
    -> 57 steps, converged=True
  strain ligand     11.51 kcal/mol (57 steps, converged=True)
  binding        -12.78 kcal/mol   (no desolvation term)

results in /tmp/run/boltz/binding_modal.csv

--- stderr ---
[12:13:32] WARNING: More than one matching pattern found - picking one

WARNING:root:Model is being compiled this might take a while for the first time
W0926 12:13:36.461000 6 site-packages/torch/_logging/_internal.py:1345] [0/0] Profiler record function <class 'torch.autograd.profiler.record_function'> will be ignored
/usr/local/lib/python3.12/site-packages/torch/_inductor/compile_fx.py:321: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
W0926 12:13:45.362000 6 site-packages/torch/_inductor/utils.py:1953] [3/0_1] Not enough SMs to use max_autotune_gemm mode
/usr/local/lib/python3.12/site-packages/torch/_inductor/lowering.py:2352: FutureWarning: `torch._prims_common.check` is deprecated and will be removed in the future. Please use `torch._check*` functions instead.
  check(
WARNING:root:The UMA fast path (merge_mole + compile) is only available for fixed composition, task, charge, and spin. This is optimized for MD applications. Falling back to a less optimized version for subsequent evaluations. Reason: 'Compositions differ from merged model'.
Use inference_settings='batch' for heterogeneous batched evaluations.
