1 complexes; terms: ['interaction', 'strain_ligand']

s2_orig_control
    relaxing 193 hydrogens of complex (212 heavy atoms fixed)
      Step     Time          Energy          fmax
BFGS:    0 12:02:02  -285618.748790        5.785507
BFGS:    1 12:02:03  -285642.950239        4.742521
BFGS:    2 12:02:03  -285664.507067        3.412760
BFGS:    3 12:02:04  -285666.965311        3.355059
BFGS:    4 12:02:04  -285669.298940        3.261473
BFGS:    5 12:02:04  -285673.126730        2.822647
BFGS:    6 12:02:05  -285675.559501        2.494580
BFGS:    7 12:02:05  -285676.914846        2.545018
BFGS:    8 12:02:06  -285677.526587        2.176402
BFGS:    9 12:02:06  -285678.250158        0.976635
BFGS:   10 12:02:06  -285678.730810        1.272997
BFGS:   11 12:02:07  -285679.507537        2.407783
BFGS:   12 12:02:07  -285680.028867        2.239071
BFGS:   13 12:02:07  -285680.318545        1.658750
BFGS:   14 12:02:08  -285680.500161        1.165204
BFGS:   15 12:02:08  -285680.672370        1.213763
BFGS:   16 12:02:08  -285680.873310        1.689363
BFGS:   17 12:02:09  -285681.055814        1.696931
BFGS:   18 12:02:09  -285681.227214        1.170310
BFGS:   19 12:02:09  -285681.335418        0.637988
BFGS:   20 12:02:10  -285681.394677        0.738879
BFGS:   21 12:02:10  -285681.499577        1.043757
BFGS:   22 12:02:10  -285681.605035        0.767955
BFGS:   23 12:02:11  -285681.719337        0.858315
BFGS:   24 12:02:11  -285681.840268        0.843511
BFGS:   25 12:02:11  -285681.954875        0.703020
BFGS:   26 12:02:12  -285682.040780        0.910015
BFGS:   27 12:02:12  -285682.155966        0.995496
BFGS:   28 12:02:12  -285682.262846        0.604695
BFGS:   29 12:02:13  -285682.370858        0.519756
BFGS:   30 12:02:13  -285682.403495        0.482881
BFGS:   31 12:02:13  -285682.466256        0.539838
BFGS:   32 12:02:14  -285682.511668        0.494817
BFGS:   33 12:02:14  -285682.551538        0.723031
BFGS:   34 12:02:15  -285682.586967        0.481574
BFGS:   35 12:02:15  -285682.618207        0.540929
BFGS:   36 12:02:15  -285682.660827        0.524580
BFGS:   37 12:02:16  -285682.698435        0.825105
BFGS:   38 12:02:16  -285682.736689        0.508710
BFGS:   39 12:02:16  -285682.755318        1.309020
BFGS:   40 12:02:17  -285682.788167        0.475284
BFGS:   41 12:02:17  -285682.810576        0.312304
BFGS:   42 12:02:17  -285682.838617        0.247878
BFGS:   43 12:02:18  -285682.856193        0.331792
BFGS:   44 12:02:18  -285682.870844        0.331267
BFGS:   45 12:02:18  -285682.888732        0.288956
BFGS:   46 12:02:19  -285682.901261        0.615796
BFGS:   47 12:02:19  -285682.918749        0.233970
BFGS:   48 12:02:19  -285682.931052        0.208050
BFGS:   49 12:02:20  -285682.947418        0.282942
BFGS:   50 12:02:20  -285682.960974        0.358852
BFGS:   51 12:02:20  -285682.986697        0.447759
BFGS:   52 12:02:21  -285683.009031        0.364100
BFGS:   53 12:02:21  -285683.036955        0.348765
BFGS:   54 12:02:21  -285683.055975        0.288274
BFGS:   55 12:02:22  -285683.077227        0.286545
BFGS:   56 12:02:22  -285683.100617        0.271101
BFGS:   57 12:02:22  -285683.101662        1.096302
BFGS:   58 12:02:23  -285683.133221        0.360947
